Latitude,Longitude,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,Tmax_scaled,PrecipTotal_scaled,AvgSpeed_scaled,length_of_day_scaled,TVar_scaled
41.95469,-87.800991,0.0,1.0,0.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.95469,-87.800991,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.994991,-87.769279,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.974089,-87.824812,0.0,1.0,0.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.974089,-87.824812,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.9216,-87.666455,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.891118,-87.654491,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.867108,-87.654224,0.0,1.0,0.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.867108,-87.654224,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.896282,-87.655232,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.919343,-87.694259,0.0,1.0,0.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.921965,-87.632085,0.0,1.0,0.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.921965,-87.632085,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.688324,-87.676709,0.0,1.0,0.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.688324,-87.676709,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.862292,-87.64886,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.720848,-87.666014,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.731922,-87.677512,0.0,0.0,1.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
41.731922,-87.677512,1.0,0.0,0.0,0.0,0.0,0.0,0.743176925885,-0.382230995752,-0.365604729698,0.88402303797,1.56018947252
