Longitude,Latitude,WnvPresent_y
-87.800991,41.95469,0.00648737407209
-87.800991,41.95469,0.00271476638341
-87.769279,41.994991,0.0053248455734
-87.824812,41.974089,0.00180110133608
-87.824812,41.974089,0.00180110133608
-87.666455,41.9216,0.00180110133608
-87.654491,41.891118,0.00180110133608
-87.654224,41.867108,0.00159187939103
-87.654224,41.867108,0.00499357315236
-87.655232,41.896282,0.00218002609218
-87.694259,41.919343,0.00475151693016
-87.632085,41.921965,0.00144606898666
-87.632085,41.921965,0.00144606898666
-87.676709,41.688324,0.00144606898666
-87.676709,41.688324,0.00144606898666
-87.64886,41.862292,0.0014199072247
-87.666014,41.720848,0.00259450890617
-87.677512,41.731922,0.00128211448325
-87.677512,41.731922,0.00265123459415
-87.61156,41.891126,0.000850202878785
-87.61156,41.891126,0.000850202878785
-87.795585,41.999129,0.000850202878785
-87.687769,42.01743,0.000850202878785
-87.760886,41.907645,0.000791104224511
-87.649642,41.732984,0.00246409361789
-87.800991,41.95469,0.00185262519807
-87.800991,41.95469,0.00245736022361
-87.800991,41.95469,0.00122875957247
-87.824812,41.974089,0.00122875957247
-87.824812,41.974089,0.00122875957247
-87.666455,41.9216,0.00122875957247
-87.666455,41.9216,0.000742938666655
-87.666455,41.9216,0.00246409361789
-87.654491,41.891118,0.00185262519807
-87.654224,41.867108,0.00245736022361
-87.654224,41.867108,0.00122875957247
-87.654224,41.867108,0.00122875957247
-87.655232,41.896282,0.00122875957247
-87.694259,41.919343,0.00122875957247
-87.694259,41.919343,0.000742938666655
-87.632085,41.921965,0.00246409361789
-87.676709,41.688324,0.00185262519807
-87.666014,41.720848,0.00245736022361
-87.677512,41.731922,0.00122875957247
-87.677512,41.731922,0.00122875957247
-87.677512,41.731922,0.00122875957247
-87.795585,41.999129,0.00122875957247
-87.795585,41.999129,0.000742938666655
-87.760886,41.907645,0.00246409361789
-87.649642,41.732984,0.00185262519807
-87.812827,41.981964,0.00245736022361
-87.832763,41.944869,0.00122875957247
-87.811506,42.011601,0.00122875957247
-87.698457,41.94983,0.00122875957247
-87.750938,41.979243,0.00122875957247
-87.689778,41.986921,0.000742938666655
-87.763416,41.801498,0.00246409361789
-87.701431,41.906638,0.00185262519807
-87.64997,41.723195,0.00245736022361
-87.666901,41.868077,0.00122875957247
-87.666901,41.868077,0.00122875957247
-87.627561,41.869216,0.00122875957247
-87.724608,41.662014,0.00122875957247
-87.724608,41.662014,0.000742938666655
-87.724608,41.662014,0.00246409361789
-87.76007,41.961743,0.00185262519807
-87.76007,41.961743,0.00245736022361
-87.776792,41.953067,0.00122875957247
-87.776792,41.953067,0.00122875957247
-87.629798,41.878114,0.00122875957247
-87.702575,41.958271,0.00122875957247
-87.702575,41.958271,0.000742938666655
-87.700117,41.932094,0.00285065548412
-87.667736,41.994469,0.00207007637578
-87.675919,42.006858,0.00284286877939
-87.800515,41.916265,0.00137308549192
-87.800515,41.916265,0.00137308549192
-87.716277,41.846075,0.00137308549192
-87.752329,41.918705,0.00137308549192
-87.707973,41.682587,0.000858039378252
-87.707973,41.682587,0.00285065548412
-87.614258,41.725517,0.00207007637578
-87.730698,41.948167,0.00284286877939
-87.730698,41.948167,0.00137308549192
-87.69181,41.963976,0.00137308549192
-87.800991,41.95469,0.00137308549192
-87.800991,41.95469,0.00137308549192
-87.800991,41.95469,0.000858039378252
-87.769279,41.994991,0.00285065548412
-87.769279,41.994991,0.00207007637578
-87.824812,41.974089,0.00284286877939
-87.666455,41.9216,0.00137308549192
